a,b,c,d,e,o
0.81,0.12,0.99,0.73,0.43,0.95
0.99,0.89,0.98,1,0.98,0.05
0.58,0.98,0.98,0.9,0.91,0.11
0.16,0.07,0.98,0.01,0.91,0.88
0.58,0.03,0.99,0.08,0.58,0.23
0.98,0.03,0.99,0.81,0.95,0.05
0.89,0.79,0.99,0.96,0.31,0.95
0.04,0.09,0.13,0.36,0.43,0.94
0.07,0.16,0.88,0.07,0.13,0.58
0.72,0.05,0.98,0.01,0.95,0.08
0.34,0.10,0.41,0.47,0.58,0.95
0.98,1,0.99,0.94,0.99,0.05
0.02,0.17,0.59,0,0,0.88
0.01,0.02,0.01,0.11,0.01,0.95
0.01,0.03,0.17,0,0.84,0.79
0.03,0.30,0.09,0.21,0.2,0.94
0.95,0.13,0.99,0.67,0.91,0.05
0.98,0.99,0.99,1,0.98,0.05
